title,price,brand,model,size,colour,material,condition,defects,category,notes,photos
The North Face Nuptse 700 puffer jacket black,14.00,The North Face,Nuptse 700,L,Black,Nylon,good,small scuff on left cuff,clothing,Oxfam Slough - label intact,photos/tnf_front.jpg | photos/tnf_label.jpg
Nike Air Max 90 trainers white grey,9.50,Nike,Air Max 90,UK 9,White/Grey,,good,midsole slightly yellowed,trainers,British Heart Foundation,photos/am90_side.jpg
Carhartt WIP Detroit jacket brown,18.00,Carhartt WIP,Detroit,M,Brown,Cotton Duck,excellent,,clothing,car boot Datchet,photos/carhartt_1.jpg | photos/carhartt_tag.jpg
Sony WM-FX290 Walkman cassette player,6.00,Sony,WM-FX290,,Silver,,unknown,untested no batteries,retro_tech,house clearance box,photos/walkman.jpg
Technics SL-BD20 turntable,22.00,Technics,SL-BD20,,Black,,unknown,no dust cover,audio,collection only Slough,
Primark hoodie grey,3.00,Primark,,M,Grey,Cotton,good,,clothing,not worth it but testing the filter,
Replica Stone Island badge jumper,12.00,Stone Island,,L,Navy,,good,,clothing,seller said 1:1 quality,
Adidas Samba OG trainers black,11.00,Adidas,Samba OG,UK 8,Black,Leather,good,,trainers,,photos/samba.jpg
Levi's 501 jeans W32 L32,7.00,Levi's,501,W32 L32,Blue,Denim,good,fading on knees,clothing,,
Sennheiser HD 25 headphones,16.00,Sennheiser,HD 25,,Black,,good,one earpad worn,audio,tested - both channels work,photos/hd25.jpg
